source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-23 19:45,Standard,Genk,1,1,0,0,D,17,17,5,5,7,3,11,8,1,2,0,0,,2.76,3.74,2.48,1.59,2.44,2.05,1.85,3.4,3.5,2.0,3.6,3.96,2.18,1.59,2.56
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-24 15:15,Oud-Heverlee Leuven,Waregem,1,1,1,1,D,13,10,4,4,0,4,12,17,5,6,0,1,,2.06,3.77,3.46,1.68,2.24,1.97,1.92,1.95,3.6,3.6,2.04,4.11,3.6,1.51,2.96
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-24 17:30,Kortrijk,Seraing,2,0,1,0,H,9,9,4,4,2,1,16,15,4,2,0,0,,1.8,3.8,4.5,1.83,2.04,2.03,1.87,1.8,3.8,4.33,1.83,3.9,4.63,1.93,2.06
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-24 19:45,Oostende,Charleroi,0,3,0,1,A,11,10,3,6,9,2,13,9,3,1,0,0,,2.29,3.52,3.14,1.8,2.05,1.94,1.94,2.2,3.5,3.1,2.38,3.55,3.27,1.93,2.06
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-25 12:30,Mechelen,Antwerp,3,2,0,1,H,18,10,9,5,13,2,12,10,2,2,0,0,,2.85,3.5,2.49,1.76,2.1,2.15,1.76,2.05,3.5,3.6,2.17,3.87,3.6,1.69,2.34
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-25 15:00,Club Brugge,Eupen,2,2,0,0,D,21,13,11,5,10,3,9,14,3,6,0,0,,1.19,7.06,14.84,1.48,2.66,1.84,2.04,1.22,6.5,13.0,1.25,7.0,14.0,1.48,3.1
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-25 17:30,Anderlecht,St. Gilloise,1,3,1,1,A,9,8,2,5,4,2,11,7,3,3,0,0,,1.57,4.31,5.65,1.81,2.04,2.08,1.83,2.0,3.4,3.5,2.11,4.3,5.65,2.06,2.04
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-25 20:00,St Truiden,Gent,2,1,1,1,H,6,12,2,4,1,8,12,6,2,1,0,0,,4.62,3.95,1.75,1.79,2.07,1.85,2.05,4.5,3.6,1.75,4.74,3.94,1.83,1.83,2.12
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-27 17:30,Beerschot VA,Cercle Brugge,0,1,0,1,A,,,,,,,,,1,1,0,0,,2.33,3.4,3.16,1.86,1.99,2.09,1.81,2.37,3.6,2.75,2.51,3.6,3.14,2.16,1.9
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2021-2022,2021-07-30 19:45,Genk,Oostende,3,4,2,1,A,25,16,9,7,9,5,2,12,0,1,0,0,,1.59,4.23,5.85,1.59,2.45,2.02,1.87,1.45,4.5,6.5,1.54,4.9,6.59,1.51,2.81
