source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-15 19:30,Kaiserslautern,Hannover,2,1,1,0,H,11,13,4,5,4,3,15,16,6,3,0,0,,2.48,3.41,2.88,1.93,1.9,1.77,2.11,2.4,3.5,2.8,2.65,3.6,2.95,1.97,2.05
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-16 12:00,Greuther Furth,Holstein Kiel,2,2,0,1,D,24,4,10,2,12,1,14,9,5,2,0,0,,2.23,3.38,3.32,1.92,1.92,1.86,1.99,2.15,3.75,3.2,2.25,3.78,3.35,1.87,2.17
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-16 12:00,Regensburg,Darmstadt,2,0,1,0,H,17,13,4,2,3,5,17,12,3,4,0,1,,3.59,4.09,1.91,1.61,2.35,2.05,1.81,3.25,3.8,2.05,3.7,4.0,2.13,1.67,2.41
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-16 12:00,Sandhausen,Bielefeld,2,1,1,0,H,13,14,6,6,5,6,21,15,7,3,0,1,,3.22,3.3,2.32,1.93,1.9,1.87,1.98,2.7,3.4,2.62,3.5,3.45,2.77,2.06,1.93
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-16 12:00,St Pauli,Nurnberg,3,2,3,0,H,16,12,7,4,4,4,17,10,3,4,0,0,,2.45,3.58,2.81,1.66,2.25,1.91,1.94,2.5,3.6,2.62,2.65,3.68,2.9,1.8,2.21
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-16 19:30,Magdeburg,Fortuna Dusseldorf,1,2,0,1,A,13,16,5,3,6,3,12,14,1,2,0,0,,2.78,3.59,2.46,1.79,2.05,1.99,1.86,2.3,3.75,2.87,2.67,3.8,2.96,1.76,2.35
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-17 12:30,Braunschweig,Hamburg,0,2,0,0,A,24,15,8,6,9,4,7,15,0,2,0,0,,5.36,4.04,1.63,1.68,2.21,1.93,1.92,4.75,4.0,1.72,5.0,4.05,1.8,1.89,2.19
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-17 12:30,Hansa Rostock,Heidenheim,0,1,0,0,A,12,9,4,3,2,4,10,11,2,1,0,0,,2.43,3.24,3.09,1.93,1.9,2.15,1.73,2.3,3.4,3.0,2.53,3.49,3.13,2.06,1.94
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-17 12:30,Paderborn,Karlsruhe,5,0,0,0,H,16,8,9,4,2,7,9,9,0,2,0,0,,1.92,3.96,3.66,1.57,2.43,1.91,1.94,1.72,4.0,4.5,1.85,4.13,4.65,1.6,2.6
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2022-2023,2022-07-22 17:30,Darmstadt,Sandhausen,2,1,1,1,H,10,7,2,4,8,3,11,12,2,3,0,0,,1.81,3.99,4.39,1.59,2.46,2.02,1.88,1.8,4.0,4.0,1.85,4.1,4.51,1.67,2.55
