source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-13 20:00,Brentford,Arsenal,2,0,1,0,H,8,22,3,4,2,5,12,8,0,0,0,0,M Oliver,4.05,3.46,2.05,2.22,1.73,1.81,2.13,3.8,3.25,2.05,4.2,3.5,2.18,2.47,1.75
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 12:30,Man United,Leeds,5,1,1,0,H,16,10,8,3,5,4,11,9,1,2,0,0,P Tierney,1.56,4.57,5.96,1.67,2.32,2.17,1.77,1.61,4.2,5.25,1.71,4.33,5.8,1.75,2.37
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 15:00,Burnley,Brighton,1,2,1,0,A,14,14,3,8,7,6,10,7,2,1,0,0,D Coote,3.3,3.12,2.51,2.56,1.56,1.81,2.14,3.1,3.1,2.45,3.35,3.2,2.56,2.42,1.71
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 15:00,Chelsea,Crystal Palace,3,0,2,0,H,13,4,6,1,5,2,15,11,0,0,0,0,J Moss,1.26,6.24,12.74,1.8,2.09,2.12,1.81,1.3,5.25,11.0,1.36,5.5,11.5,1.96,2.07
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 15:00,Everton,Southampton,3,1,0,1,H,14,6,6,3,6,8,13,15,2,0,0,0,A Madley,2.01,3.56,4.1,2.14,1.78,2.05,1.88,2.0,3.4,3.9,2.12,3.5,4.2,2.34,1.77
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 15:00,Leicester,Wolves,1,0,1,0,H,9,17,5,3,5,4,6,10,1,2,0,0,C Pawson,1.73,3.79,5.47,2.08,1.84,2.01,1.92,1.7,3.75,5.0,1.82,4.13,5.5,2.15,1.93
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 15:00,Watford,Aston Villa,3,2,2,0,H,13,11,7,2,2,4,18,13,3,1,0,0,M Dean,3.18,3.31,2.47,2.1,1.83,2.04,1.89,3.4,3.3,2.2,3.73,3.45,2.3,2.23,1.84
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-14 17:30,Norwich,Liverpool,0,3,0,1,A,14,19,3,8,3,11,4,14,1,1,0,0,A Marriner,8.35,5.86,1.36,1.56,2.59,1.85,2.09,6.5,4.75,1.44,8.0,5.5,1.5,1.61,2.6
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-15 14:00,Newcastle,West Ham,2,4,2,1,A,17,8,3,9,7,6,4,3,1,0,0,0,M Atkinson,3.21,3.59,2.32,1.98,1.93,2.02,1.91,3.3,3.4,2.2,3.62,3.6,2.27,1.97,2.05
football-data.co.uk,E0,Прем'єр-ліга,АНГЛІЯ,2021-2022,2021-08-15 16:30,Tottenham,Man City,1,0,0,0,H,13,18,3,4,3,11,11,8,2,1,0,0,A Taylor,5.56,4.09,1.67,1.89,2.02,1.87,2.06,6.0,4.1,1.55,6.53,4.33,1.65,2.0,2.17
