source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-12 19:45,Parma,Bari,2,2,2,2,D,10,9,6,5,6,3,15,10,5,3,0,0,,1.91,3.54,4.51,2.1,1.79,2.06,1.85,1.85,3.2,3.6,2.06,3.56,4.2,2.05,1.88
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-13 19:45,Cittadella,Pisa,4,3,1,1,H,15,16,5,8,5,5,10,16,1,1,0,0,,2.45,3.26,3.2,2.27,1.68,1.86,2.05,2.1,3.1,3.8,2.21,3.18,4.0,2.65,1.58
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-13 19:45,Como,Cagliari,1,1,1,0,D,9,12,3,2,6,5,17,11,1,1,0,0,,3.87,3.36,2.11,2.19,1.74,2.06,1.85,2.8,3.2,2.55,2.99,3.36,2.63,2.06,1.87
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-13 19:45,Palermo,Perugia,2,0,1,0,H,12,8,3,0,2,6,17,19,2,5,0,1,,2.34,3.34,3.33,2.25,1.69,2.05,1.86,2.25,3.1,2.8,2.5,3.29,3.38,2.31,1.71
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Ascoli,Ternana,2,1,2,0,H,9,10,5,3,4,7,13,18,2,4,0,0,,2.19,3.43,3.57,1.98,1.91,1.96,1.94,2.15,3.25,3.3,2.29,3.55,3.5,1.9,2.01
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Benevento,Cosenza,0,1,0,0,A,18,7,1,2,8,5,12,19,2,2,0,0,,1.52,4.16,7.42,1.94,1.94,1.89,2.01,1.53,3.6,6.5,1.57,4.3,7.5,2.02,1.99
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Brescia,Sudtirol,2,0,1,0,H,8,20,4,4,4,5,17,5,1,1,0,0,,1.54,4.29,6.64,1.89,2.0,1.95,1.95,1.65,3.2,5.25,1.75,3.63,5.75,2.26,1.8
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Modena,Frosinone,0,1,0,1,A,13,17,4,5,5,7,15,12,1,4,0,0,,2.97,3.07,2.74,2.21,1.72,1.91,2.0,2.1,3.2,3.1,2.6,3.32,3.74,2.37,1.73
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Spal,Reggina,1,3,0,1,A,13,12,5,7,8,3,17,18,3,2,0,0,,1.82,3.43,5.28,2.1,1.79,1.93,1.97,1.83,3.2,3.8,2.0,3.53,4.53,2.08,1.85
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Venezia,Genoa,1,2,0,1,A,10,15,6,6,1,10,7,15,4,2,0,0,,3.69,3.28,2.21,2.17,1.75,1.93,1.97,4.0,3.3,1.85,4.4,3.47,1.98,2.26,1.77
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-19 19:45,Bari,Palermo,1,1,0,1,D,18,8,5,4,5,4,12,12,2,2,0,1,,2.45,3.12,3.35,2.22,1.71,1.82,2.11,2.05,3.4,3.6,2.2,3.4,4.0,2.16,1.8
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-20 19:45,Ascoli,Spal,1,1,1,1,D,15,12,2,6,10,4,15,14,4,5,0,0,,2.07,3.45,3.93,1.96,1.93,1.83,2.09,2.1,3.4,3.4,2.15,3.6,3.79,2.02,2.0
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-20 19:45,Genoa,Benevento,0,0,0,0,D,13,7,5,1,8,1,17,14,3,2,0,0,,1.85,3.63,4.67,1.99,1.9,1.74,2.2,1.6,4.0,5.75,1.65,4.19,6.23,2.02,1.99
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-20 19:45,Perugia,Parma,0,0,0,0,D,8,19,2,4,2,6,15,6,2,1,0,0,,2.93,3.31,2.61,2.17,1.75,2.06,1.85,2.8,3.2,2.55,3.0,3.4,2.68,2.26,1.78
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Cagliari,Cittadella,2,1,0,1,H,17,12,8,3,9,2,10,16,0,3,0,0,,1.96,3.51,4.28,2.15,1.76,1.78,2.13,2.0,3.3,3.6,2.2,3.43,4.1,2.26,1.75
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Cosenza,Modena,2,1,0,1,H,9,13,3,4,8,4,9,19,1,3,0,0,,2.73,3.1,2.96,2.27,1.68,1.89,2.01,3.3,3.2,2.3,3.55,3.2,2.49,2.37,1.69
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Frosinone,Brescia,3,0,1,0,H,14,7,5,2,4,3,14,22,2,2,0,0,,2.78,3.09,2.91,2.09,1.8,2.0,1.91,2.25,3.3,3.25,2.45,3.41,3.48,2.08,1.88
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Pisa,Como,2,2,1,1,D,13,8,5,4,8,1,18,14,1,2,0,0,,1.8,3.77,4.77,1.87,2.03,2.01,1.89,1.95,3.5,4.0,2.02,3.72,4.04,2.02,1.99
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Sudtirol,Venezia,1,2,0,0,A,5,18,1,6,1,8,8,12,0,3,0,0,,2.97,3.1,2.72,2.29,1.68,1.91,2.0,2.2,3.3,3.3,2.35,3.31,3.71,2.28,1.68
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Ternana,Reggina,1,0,1,0,H,11,13,4,2,4,7,14,18,2,1,0,0,,2.06,3.47,3.91,1.91,1.98,2.05,1.86,2.0,3.4,3.6,2.1,3.55,3.94,2.02,2.01
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-27 19:45,Modena,Ternana,4,1,2,0,H,15,5,5,3,3,2,11,9,3,0,0,0,,2.28,3.32,3.47,2.04,1.85,1.96,1.94,2.15,3.4,3.4,2.29,3.45,3.69,2.02,1.94
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-27 19:45,Palermo,Ascoli,2,3,1,2,A,11,9,7,5,12,2,10,20,3,3,1,0,,2.44,3.19,3.29,2.05,1.85,1.99,1.91,2.25,3.1,3.3,2.37,3.26,3.55,2.08,1.87
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-27 19:45,Spal,Cagliari,1,0,1,0,H,9,12,3,2,2,5,20,15,4,3,1,1,,2.9,3.42,2.56,2.0,1.89,1.83,2.1,2.9,3.3,2.37,3.12,3.58,2.57,2.02,1.98
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Benevento,Frosinone,2,1,1,0,H,7,11,4,6,5,5,14,17,3,4,0,0,,2.27,3.3,3.51,2.1,1.79,1.74,2.2,2.55,3.2,2.9,2.55,3.42,3.16,2.26,1.77
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Cittadella,Venezia,1,1,0,0,D,16,9,3,2,6,0,23,17,4,2,0,0,,2.34,3.2,3.47,2.19,1.73,1.79,2.15,2.5,3.2,2.9,2.6,3.34,3.08,2.26,1.78
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Parma,Cosenza,1,0,1,0,H,15,6,5,1,7,3,21,9,5,1,0,0,,1.57,3.92,7.15,1.99,1.89,2.03,1.88,1.44,4.2,7.0,1.48,4.7,9.0,1.85,2.12
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Perugia,Bari,1,3,0,1,A,22,10,8,6,9,3,16,16,5,4,1,1,,2.45,3.18,3.22,2.25,1.68,2.09,1.83,2.37,3.1,3.2,2.47,3.3,3.3,2.38,1.64
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Pisa,Genoa,0,1,0,1,A,15,12,4,6,3,4,10,10,4,2,1,0,,3.67,3.32,2.2,2.0,1.88,1.93,1.97,4.2,3.3,1.85,4.5,3.59,1.97,2.16,1.84
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Reggina,Sudtirol,4,0,2,0,H,15,6,9,1,3,4,13,16,2,4,0,1,,2.08,3.28,4.11,2.32,1.66,2.05,1.87,2.05,3.1,3.8,2.09,3.39,4.24,2.4,1.64
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-08-29 19:45,Como,Brescia,0,1,0,1,A,11,24,5,8,3,5,13,21,3,1,1,0,,2.89,3.33,2.59,1.99,1.88,2.16,1.76,2.9,3.3,2.37,3.05,3.48,2.52,1.93,2.04
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-02 19:30,Cagliari,Modena,1,0,1,0,H,23,14,10,1,8,4,8,15,2,2,0,0,,1.86,3.57,4.72,2.08,1.81,2.02,1.89,1.75,3.6,4.75,1.83,3.72,5.22,2.09,1.84
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Ascoli,Cittadella,0,0,0,0,D,9,14,3,2,2,5,14,22,4,6,1,2,,2.39,3.24,3.33,2.18,1.74,2.15,1.79,2.45,3.2,2.9,2.56,3.4,3.27,2.27,1.78
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Bari,Spal,2,2,2,0,D,15,18,7,5,7,5,13,14,2,3,0,0,,2.16,3.38,3.71,1.98,1.91,1.82,2.1,2.05,3.3,3.5,2.23,3.54,3.79,1.98,1.92
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Brescia,Perugia,2,1,2,1,H,18,16,6,4,4,5,15,19,4,2,0,0,,1.96,3.4,4.45,2.1,1.79,1.9,2.0,2.15,3.3,3.25,2.25,3.5,3.68,2.14,1.84
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Frosinone,Como,2,0,1,0,H,23,11,9,2,8,5,19,11,1,3,0,0,,1.8,3.69,4.92,1.88,2.01,1.95,1.95,1.53,4.2,5.5,1.61,4.25,7.0,1.84,2.13
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Reggina,Palermo,3,0,1,0,H,10,11,3,3,2,8,14,10,3,2,1,1,,2.24,3.29,3.6,2.19,1.74,1.85,2.07,2.05,3.4,3.4,2.19,3.4,3.9,2.23,1.73
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Ternana,Cosenza,1,1,1,0,D,11,3,4,1,4,1,16,15,3,5,1,0,,1.81,3.81,4.67,1.94,1.94,2.03,1.88,1.75,3.75,4.33,1.83,3.79,4.91,1.96,1.96
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 13:00,Venezia,Benevento,0,2,0,0,A,9,13,3,4,6,9,20,9,2,3,0,0,,2.57,3.15,3.12,2.12,1.78,2.17,1.78,2.4,3.25,2.8,2.56,3.36,3.23,2.1,1.84
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-03 15:15,Genoa,Parma,3,3,2,2,D,13,10,5,4,4,5,11,12,4,4,1,0,,1.74,3.7,5.39,1.99,1.9,1.81,2.09,1.75,3.6,4.33,1.95,3.7,4.96,2.06,1.93
football-data.co.uk,I2,Серія Б,ІТАЛІЯ,2022-2023,2022-09-04 15:15,Sudtirol,Pisa,2,1,1,1,H,7,12,6,1,7,5,19,23,3,2,0,0,,3.03,3.16,2.63,2.37,1.64,1.8,2.13,3.0,3.1,2.45,3.32,3.2,2.55,2.38,1.67
