source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-13 19:00,Go Ahead Eagles,Heerenveen,0,1,0,1,A,11,19,3,5,3,11,9,9,0,0,0,0,,2.81,3.39,2.65,2.08,1.83,2.02,1.89,2.87,3.4,2.4,2.95,3.47,2.69,1.98,1.99
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-14 15:30,Waalwijk,AZ Alkmaar,1,0,1,0,H,7,19,2,5,4,6,12,7,0,2,0,0,,6.49,4.94,1.47,1.49,2.69,1.78,2.15,5.5,4.0,1.61,6.5,4.6,1.69,1.65,2.6
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-14 17:45,Heracles,PSV Eindhoven,0,2,0,1,A,6,19,2,6,2,11,10,12,2,2,0,0,,6.37,4.72,1.5,1.55,2.54,1.79,2.13,5.0,4.33,1.57,6.25,4.5,1.65,1.81,2.4
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-14 19:00,For Sittard,Twente,2,1,0,1,H,6,13,4,1,8,5,10,10,2,2,0,0,,2.8,3.53,2.55,1.77,2.12,1.83,2.09,2.87,3.5,2.37,3.05,3.58,2.55,1.92,2.08
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-14 20:00,Ajax,Nijmegen,5,0,5,0,H,25,7,9,1,10,0,6,6,0,0,0,0,,1.09,11.29,30.3,1.28,3.78,1.88,1.99,1.07,11.0,23.0,1.08,15.33,41.0,1.24,5.0
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-15 11:15,Cambuur,Groningen,1,2,0,1,A,6,11,3,7,2,8,12,11,0,0,0,0,,2.49,3.62,2.82,1.8,2.07,2.08,1.84,2.3,3.4,3.0,2.5,3.58,3.12,1.89,2.11
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-15 13:30,Utrecht,Sparta Rotterdam,4,0,1,0,H,22,7,8,1,4,2,8,9,1,3,0,0,,1.58,4.35,5.67,1.62,2.38,1.94,1.96,1.5,4.33,6.5,1.65,4.33,6.66,1.97,1.99
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-15 13:30,Zwolle,Vitesse,0,1,0,1,A,15,14,5,6,6,2,8,17,0,2,0,0,,3.89,3.63,1.99,1.79,2.08,1.81,2.12,2.8,3.6,2.37,3.1,3.63,2.48,1.81,2.25
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-15 15:45,Willem II,Feyenoord,0,4,0,2,A,6,21,3,9,5,4,5,11,1,0,1,0,,4.24,4.22,1.78,1.57,2.48,1.82,2.11,5.5,4.0,1.57,5.5,4.5,1.68,1.76,2.35
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-20 19:00,Nijmegen,Zwolle,2,0,2,0,H,8,17,3,1,2,5,15,15,4,3,0,1,,2.58,3.44,2.86,1.86,2.03,1.85,2.06,2.37,3.3,2.87,2.62,3.52,3.1,1.99,2.01
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-21 17:45,Heerenveen,Waalwijk,3,2,3,0,H,11,17,4,3,2,7,7,11,1,3,0,0,,1.76,3.78,4.91,1.61,2.39,1.93,1.98,1.53,3.6,6.5,1.7,4.42,6.5,1.79,2.35
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-21 19:00,PSV Eindhoven,Cambuur,4,1,2,0,H,25,8,8,4,11,3,6,9,0,1,0,0,,1.26,6.64,9.78,1.41,2.96,1.98,1.91,1.25,5.5,8.5,1.3,6.89,10.6,1.44,3.11
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-21 19:00,Sparta Rotterdam,Heracles,1,1,1,0,D,11,12,4,4,4,9,6,6,1,2,0,0,,2.24,3.23,3.59,1.91,1.96,2.09,1.83,1.95,3.6,3.8,2.2,3.6,4.05,1.98,1.95
football-data.co.uk,N1,Ередивізі,НІДЕРЛАНДИ,2021-2022,2021-08-21 20:00,Groningen,Utrecht,0,0,0,0,D,13,5,3,0,5,4,12,15,3,4,0,0,,3.6,3.81,2.02,1.89,1.98,2.09,1.83,3.4,3.6,2.05,3.62,3.7,2.2,1.96,2.04
