source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-05 20:15,Benfica,Arouca,4,0,3,0,H,20,3,6,2,6,1,7,6,3,1,0,1,,1.15,8.6,21.58,1.5,2.66,2.0,1.88,1.12,7.0,17.0,1.15,9.4,23.86,1.51,2.92
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-06 15:30,Rio Ave,Vizela,0,1,0,0,A,7,12,0,7,6,7,19,16,7,4,0,0,,2.31,3.29,3.44,2.14,1.76,1.82,2.11,2.0,3.2,3.6,2.33,3.4,3.9,2.35,1.8
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-06 18:00,Estoril,Famalicao,2,0,2,0,H,10,15,5,5,1,2,13,11,4,1,0,0,,2.65,3.34,2.85,2.13,1.77,1.81,2.11,2.45,3.0,2.87,2.61,3.27,3.1,2.28,1.77
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-06 20:30,Porto,Maritimo,5,1,3,0,H,22,9,7,3,4,4,13,11,3,2,0,0,,1.2,7.25,15.9,1.55,2.53,1.93,1.95,1.16,7.0,11.0,1.18,8.79,23.0,1.55,2.7
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-07 15:30,Santa Clara,Casa Pia,0,0,0,0,D,7,11,3,3,7,6,15,12,1,3,1,0,,2.1,3.45,3.83,2.25,1.69,1.89,2.02,2.15,2.8,3.6,2.23,3.29,4.1,2.38,1.67
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-07 18:00,Sp Braga,Sp Lisbon,3,3,2,2,D,15,11,7,4,3,3,14,17,2,2,0,0,,3.79,3.73,2.01,2.02,1.87,1.94,1.96,4.0,3.2,1.9,4.73,3.73,1.99,2.03,1.91
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-07 20:30,Chaves,Guimaraes,0,1,0,1,A,14,15,2,6,2,5,10,20,2,9,0,2,,2.87,3.37,2.62,2.12,1.78,1.9,2.01,2.55,3.2,2.6,2.86,3.38,2.88,2.22,1.75
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-07 20:30,Portimonense,Boavista,0,1,0,1,A,18,10,8,5,7,1,13,11,3,1,0,0,,2.08,3.35,3.92,2.32,1.65,2.03,1.88,2.2,3.2,3.0,2.4,3.42,3.58,2.4,1.68
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-08 20:15,Gil Vicente,Pacos Ferreira,1,0,0,0,H,16,12,7,5,8,6,17,19,1,6,0,0,,1.79,3.52,5.14,2.17,1.73,2.01,1.89,1.85,3.3,4.2,2.05,3.48,4.69,2.22,1.75
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-12 20:15,Famalicao,Sp Braga,0,3,0,2,A,11,24,5,9,7,7,11,14,3,1,0,0,,3.7,3.7,2.05,1.87,2.02,2.02,1.88,4.2,3.5,1.8,4.37,3.88,2.0,1.88,2.12
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-13 18:00,Casa Pia,Benfica,0,1,0,0,A,8,14,2,4,4,9,10,9,6,4,0,1,,14.87,6.08,1.24,1.67,2.28,1.98,1.93,11.0,5.0,1.3,14.0,6.0,1.32,1.74,2.25
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-13 20:30,Sp Lisbon,Rio Ave,3,0,1,0,H,20,3,6,1,7,1,15,6,1,2,0,0,,1.2,6.76,17.54,1.72,2.19,1.86,2.03,1.22,7.0,12.0,1.24,7.1,17.0,1.71,2.44
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-14 15:30,Boavista,Santa Clara,2,1,0,1,H,16,3,5,1,8,6,13,8,3,7,0,2,,2.6,3.12,3.09,2.37,1.64,2.09,1.83,2.45,3.0,2.9,2.55,3.16,3.39,2.69,1.6
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-14 18:00,Vizela,Porto,0,1,0,0,A,4,13,1,4,1,10,18,13,6,2,0,0,,11.5,5.67,1.3,1.71,2.23,1.85,2.06,8.5,4.75,1.33,11.0,5.7,1.37,1.71,2.4
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-14 20:30,Guimaraes,Estoril,1,0,1,0,H,8,7,3,4,5,7,13,8,3,5,0,1,,2.03,3.31,4.26,2.2,1.73,2.1,1.82,2.05,3.3,3.5,2.14,3.45,4.1,2.17,1.82
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-15 15:30,Maritimo,Chaves,1,2,1,0,A,13,21,6,8,3,6,12,11,1,1,0,0,,2.37,3.33,3.22,2.14,1.75,1.81,2.11,2.15,3.3,3.5,2.25,3.44,3.86,2.23,1.75
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-15 18:00,Arouca,Gil Vicente,1,0,1,0,H,8,10,4,2,4,4,22,18,4,2,0,0,,2.64,3.36,2.8,2.06,1.81,2.06,1.85,2.8,3.3,2.45,3.05,3.37,2.65,2.23,1.77
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-15 20:30,Pacos Ferreira,Portimonense,0,3,0,1,A,14,13,4,3,2,7,12,16,3,5,1,0,,2.49,3.17,3.17,2.23,1.69,1.88,2.02,2.5,3.2,2.87,2.8,3.29,3.15,2.4,1.68
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-19 20:15,Estoril,Rio Ave,2,2,1,0,D,9,17,4,7,1,5,22,13,4,3,0,1,,2.16,3.31,3.8,2.31,1.66,1.85,2.07,2.15,3.2,3.75,2.19,3.35,3.92,2.44,1.67
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-20 15:30,Santa Clara,Arouca,1,2,0,0,A,12,10,3,4,4,2,19,21,2,3,0,0,,2.17,3.36,3.7,2.34,1.65,2.06,1.85,2.0,3.2,3.8,2.09,3.41,4.3,2.36,1.68
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-20 18:00,Chaves,Vizela,1,1,1,1,D,18,17,3,4,5,4,8,19,5,5,1,1,,2.3,3.27,3.48,2.21,1.72,1.84,2.08,2.55,3.25,2.75,2.65,3.36,3.2,2.35,1.74
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-20 20:30,Porto,Sp Lisbon,3,0,1,0,H,11,8,5,4,3,4,23,11,1,4,0,1,,2.17,3.4,3.67,1.96,1.93,2.05,1.87,1.95,3.25,4.0,2.09,3.52,4.41,2.18,1.84
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-21 15:30,Casa Pia,Boavista,2,0,0,0,H,6,11,4,4,2,2,11,13,1,3,0,0,,2.56,3.1,3.19,2.58,1.55,1.72,2.23,2.5,3.1,3.0,2.68,3.16,3.34,2.63,1.56
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-21 18:00,Sp Braga,Maritimo,5,0,2,0,H,20,7,9,1,5,5,16,7,3,1,0,0,,1.41,5.11,7.98,1.74,2.18,1.96,1.93,1.25,5.5,12.0,1.32,6.4,12.2,1.6,2.55
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-21 20:30,Portimonense,Guimaraes,2,1,0,0,H,15,17,5,6,6,11,18,15,4,2,0,0,,2.83,3.27,2.71,2.25,1.7,2.08,1.84,2.45,3.1,3.1,2.62,3.33,3.24,2.37,1.7
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-22 20:15,Gil Vicente,Famalicao,0,0,0,0,D,15,10,5,2,8,4,12,13,1,5,0,0,,2.27,3.38,3.36,2.06,1.83,1.93,1.96,2.15,3.5,3.3,2.26,3.58,3.6,2.07,1.91
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-26 20:15,Pacos Ferreira,Estoril,0,3,0,2,A,10,11,4,7,4,5,13,21,3,0,2,0,,2.71,3.17,2.91,2.3,1.67,1.79,2.15,2.5,3.2,3.0,2.78,3.25,3.07,2.35,1.71
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-27 15:30,Maritimo,Portimonense,0,1,0,1,A,19,9,4,6,8,7,12,16,2,1,0,0,,2.89,3.11,2.77,2.16,1.75,2.12,1.81,2.9,3.2,2.45,3.03,3.32,2.71,2.23,1.78
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-27 18:00,Boavista,Benfica,0,3,0,1,A,4,16,0,6,7,8,12,15,4,2,0,0,,9.71,4.92,1.38,1.76,2.15,1.79,2.13,8.5,5.0,1.36,11.0,5.3,1.4,1.78,2.23
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-27 20:30,Sp Lisbon,Chaves,0,2,0,0,A,22,8,10,5,13,3,19,16,5,2,0,1,,1.2,7.03,16.15,1.57,2.48,1.97,1.92,1.2,6.5,17.0,1.21,7.6,18.3,1.56,2.66
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-28 15:30,Famalicao,Santa Clara,1,0,1,0,H,12,13,4,2,6,4,22,11,3,3,0,0,,2.19,3.51,3.5,2.05,1.85,1.77,2.15,2.05,3.3,3.75,2.16,3.41,4.14,2.35,1.75
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-28 18:00,Arouca,Sp Braga,0,6,0,4,A,12,15,4,10,5,4,18,13,3,3,0,0,,5.18,4.12,1.68,1.85,2.05,2.06,1.85,6.5,4.0,1.5,8.23,4.6,1.53,1.83,2.13
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-28 20:30,Rio Ave,Porto,3,1,3,0,H,6,27,4,10,2,7,11,8,1,2,0,0,,10.53,5.66,1.32,1.71,2.22,1.94,1.96,10.0,5.25,1.3,13.0,5.81,1.33,1.9,2.25
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-29 19:00,Guimaraes,Casa Pia,0,1,0,1,A,15,8,2,2,9,1,15,16,3,3,0,0,,2.08,3.37,3.89,2.21,1.71,1.98,1.93,2.3,2.9,3.6,2.35,3.22,3.93,2.5,1.64
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-29 21:15,Vizela,Gil Vicente,2,2,2,2,D,18,12,9,4,5,10,9,15,2,5,0,0,,2.46,3.27,3.12,2.09,1.79,2.12,1.81,2.4,3.25,2.9,2.49,3.37,3.21,2.22,1.79
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-08-30 20:15,Benfica,Pacos Ferreira,3,2,2,1,H,27,3,6,2,13,3,13,13,2,4,0,0,,1.09,11.39,40.26,1.36,3.18,2.05,1.83,1.06,11.0,29.0,1.09,14.0,38.82,1.29,4.2
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-02 19:00,Benfica,Vizela,2,1,0,1,H,28,7,6,2,15,4,9,10,7,4,2,0,,1.19,7.5,15.97,1.4,3.05,1.92,1.97,1.2,7.0,15.0,1.22,7.6,17.0,1.44,3.22
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-02 21:15,Estoril,Sp Lisbon,0,2,0,2,A,5,18,0,4,2,7,16,18,5,7,0,0,,7.23,4.55,1.48,1.76,2.15,1.95,1.95,8.0,4.75,1.4,8.19,4.8,1.5,1.81,2.21
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-03 15:30,Sp Braga,Guimaraes,1,0,0,0,H,18,7,2,3,5,0,16,21,2,7,0,0,,1.39,5.1,8.52,1.68,2.28,1.85,2.06,1.36,4.75,8.0,1.42,5.11,9.5,1.74,2.35
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-03 20:30,Gil Vicente,Porto,0,2,0,2,A,6,16,2,4,6,4,15,9,1,0,0,0,,8.1,4.65,1.44,1.75,2.16,2.02,1.89,9.5,5.25,1.28,12.0,6.0,1.33,1.69,2.42
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-04 15:30,Casa Pia,Arouca,0,0,0,0,D,6,8,1,1,9,2,13,10,2,0,0,0,,2.15,3.04,4.28,2.41,1.62,2.0,1.91,1.9,3.2,4.2,2.08,3.34,4.6,2.38,1.68
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-04 18:00,Santa Clara,Maritimo,2,1,0,1,H,9,17,4,5,2,3,22,16,3,4,0,1,,2.05,3.21,4.36,2.29,1.68,2.13,1.79,2.05,3.1,3.5,2.14,3.36,4.2,2.32,1.73
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-04 20:30,Portimonense,Famalicao,1,0,0,0,H,9,13,1,1,7,5,20,10,5,2,0,0,,2.42,3.1,3.43,2.22,1.71,1.75,2.18,2.37,3.2,2.9,2.56,3.38,3.13,2.17,1.81
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-05 19:00,Boavista,Pacos Ferreira,1,0,0,0,H,12,7,3,1,5,1,16,18,4,3,0,0,,2.05,3.28,4.17,2.24,1.69,1.93,1.98,1.9,3.5,4.0,2.03,3.52,4.67,2.24,1.78
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-05 21:15,Chaves,Rio Ave,1,1,1,0,D,21,13,6,3,8,11,14,13,5,3,0,0,,2.54,3.17,3.09,2.26,1.68,2.1,1.82,2.37,3.0,3.1,2.5,3.14,3.33,2.37,1.68
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-09 20:15,Guimaraes,Santa Clara,1,0,0,0,H,9,9,3,4,6,5,11,17,4,5,0,0,,2.03,3.3,4.3,2.3,1.67,2.08,1.83,2.0,3.25,3.8,2.09,3.41,4.2,2.42,1.7
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-10 15:30,Famalicao,Benfica,0,1,0,0,A,4,13,2,7,1,5,19,12,2,0,1,0,,8.58,4.8,1.41,1.7,2.24,1.96,1.94,7.5,4.75,1.4,8.55,4.9,1.45,1.73,2.35
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-10 18:00,Sp Lisbon,Portimonense,4,0,2,0,H,17,4,7,1,8,3,7,14,3,3,0,0,,1.32,5.6,10.39,1.66,2.31,1.99,1.92,1.3,5.5,7.5,1.35,6.21,10.0,1.7,2.34
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-10 20:30,Porto,Chaves,3,0,1,0,H,19,8,7,1,9,3,13,11,1,3,0,0,,1.15,8.59,20.96,1.5,2.68,2.1,1.79,1.22,5.75,13.0,1.23,7.6,17.0,1.55,2.7
football-data.co.uk,P1,Ліга Португалії,ПОРТУГАЛІЯ,2022-2023,2022-09-11 15:30,Pacos Ferreira,Casa Pia,2,3,1,0,A,19,12,8,5,7,2,8,17,2,4,0,0,,2.97,3.08,2.73,2.53,1.57,1.77,2.18,3.0,3.1,2.45,3.26,3.2,2.66,2.6,1.58
