source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-11 18:00,Amorebieta,Levante,1,1,0,1,D,11,7,3,2,8,2,20,18,0,3,0,0,,3.32,3.1,2.48,2.49,1.58,1.79,2.15,2.9,3.2,2.45,3.2,3.22,2.57,2.55,1.58
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-11 20:30,Valladolid,Sp Gijon,2,0,1,0,H,17,11,5,4,8,2,12,15,5,5,0,0,,1.93,3.36,4.67,2.29,1.67,1.94,1.96,1.91,3.4,4.2,1.99,3.44,4.6,2.3,1.73
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-12 18:00,Santander,Eibar,4,0,3,0,H,11,14,8,3,4,6,10,14,2,3,0,0,,3.05,2.98,2.74,2.49,1.58,2.19,1.76,3.0,3.0,2.55,3.28,3.04,2.68,2.81,1.49
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-12 20:00,Zaragoza,Villarreal B,2,0,0,0,H,16,11,7,2,4,0,9,8,2,4,0,0,,1.71,3.54,6.06,2.44,1.61,1.95,1.95,1.91,3.25,4.5,1.95,3.36,5.0,2.46,1.64
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-12 21:00,Elche,Ferrol,0,1,0,0,A,14,10,1,2,4,4,13,15,0,2,0,0,,1.72,3.67,5.65,2.22,1.71,1.94,1.96,1.7,3.6,5.5,1.77,3.7,5.75,2.26,1.73
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-13 16:00,Burgos,Huesca,1,1,1,1,D,19,4,5,2,6,5,5,14,2,4,0,0,,2.39,2.94,3.7,2.58,1.55,1.88,2.03,2.2,3.0,3.8,2.25,3.08,4.08,3.08,1.45
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-13 18:30,Albacete,Espanol,1,1,0,1,D,17,8,6,3,7,4,14,19,3,3,0,0,,3.09,3.26,2.52,2.21,1.72,2.02,1.89,2.25,3.3,3.3,2.4,3.3,3.47,2.33,1.72
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-13 18:30,Cartagena,Eldense,0,1,0,1,A,12,8,2,2,6,6,9,18,1,1,0,0,,2.2,3.11,3.96,2.67,1.52,1.88,2.03,2.2,3.1,3.6,2.22,3.17,3.99,2.61,1.57
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-13 21:00,Leganes,Andorra,0,1,0,1,A,12,13,4,3,2,2,25,12,5,1,0,0,,2.38,2.97,3.69,2.7,1.51,2.1,1.83,2.38,3.0,3.3,2.51,3.0,3.49,2.84,1.49
football-data.co.uk,SP2,Сегунда,ІСПАНІЯ,2023-2024,2023-08-14 18:00,Mirandes,Alcorcon,4,0,2,0,H,17,18,6,6,2,5,14,6,1,1,0,0,,2.66,2.96,3.13,2.57,1.54,2.07,1.84,2.9,3.0,2.63,3.09,3.01,3.24,2.85,1.47
